sid,target,segment,raw_word_count,translation,version,ice_locked,status,time_to_edit,filename,id_file,warning,suggestion_match,suggestion_source,suggestion,edit_distance,locked,match_type,pee,ice_modified,secs_per_word,parsed_time_to_edit,last_translation,revision,second_pass_revision,pee_translation_revise,pee_translation_suggestion,version_number,source_page,is_pre_translated,"Style (readability, consistent style and tone) [Neutral]","Style (readability, consistent style and tone) [Minor]","Style (readability, consistent style and tone) [Major]","Tag issues (mismatches, whitespaces) [Neutral]","Tag issues (mismatches, whitespaces) [Minor]","Tag issues (mismatches, whitespaces) [Major]","Translation errors (mistranslation, additions or omissions) [Neutral]","Translation errors (mistranslation, additions or omissions) [Minor]","Translation errors (mistranslation, additions or omissions) [Major]","Terminology and translation consistency [Neutral]","Terminology and translation consistency [Minor]","Terminology and translation consistency [Major]","Language quality (grammar, punctuation, spelling) [Neutral]","Language quality (grammar, punctuation, spelling) [Minor]","Language quality (grammar, punctuation, spelling) [Major]"
4397669487,he-IL,"The receptionist showed the driver the way to the hall because she is very familiar with the city.",18.00,"פקידת הקבלה הראתה לנהג את הדרך לאולם כי היא מכירה היטב את העיר.",1734528527,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"פקידת הקבלה הראתה לנהג את הדרך לאולם כי היא מכירה היטב את העיר.",,0,MT,0,,0,00:00:00.00,"פקידת הקבלה הראתה לנהג את הדרך לאולם כי היא מכירה היטב את העיר.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669488,he-IL,"The supervisor gave the housekeeper a ride because she has a car.",12.00,"המפקחת נתנה לעוזרת הבית טרמפ כי יש לה מכונית.",1734528558,0,TRANSLATED,30838,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המפקח נתן לעוזרת הבית טרמפ כי יש לה מכונית.",,0,MT,25,,2.6,00:00:30.838,"המפקחת נתנה לעוזרת הבית טרמפ כי יש לה מכונית.",,,0,25,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669489,he-IL,"The supervisor met up with the teacher and told her the concerns.",12.00,"המפקחת נפגשה עם המורה וסיפרה לה על החששות שלה.",1734528597,0,TRANSLATED,39031,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המפקחת נפגשה עם המורה וסיפרה לה על החששות.",,0,MT,4,,3.3,00:00:39.31,"המפקחת נפגשה עם המורה וסיפרה לה על החששות שלה.",,,0,4,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669490,he-IL,"The chief thanked the secretary because her salary was raised.",10.00,"המנהלת הודתה למזכירה כי משכורתה הועלתה.",1734528629,0,TRANSLATED,30153,WinoMT_20_onlythird.txt,16218040,0,85,MT,"הצ'יף הודה למזכירה כי משכורתה הועלתה.",,0,MT,35,,3,00:00:30.153,"המנהלת הודתה למזכירה כי משכורתה הועלתה.",,,0,35,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669491,he-IL,"The farmer hired the assistant and told her to come to work twice a week.",15.00,"האיכר שכר את העוזרת ואמר לה לבוא לעבודה פעמיים בשבוע.",1734528646,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"האיכר שכר את העוזרת ואמר לה לבוא לעבודה פעמיים בשבוע.",,0,MT,0,,0,00:00:00.00,"האיכר שכר את העוזרת ואמר לה לבוא לעבודה פעמיים בשבוע.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669492,he-IL,"The supervisor invited the designer to the party because she made big contributions.",13.00,"המפקחת הזמינה את המעצבת למסיבה כי היא תרמה תרומות גדולות.",1734528680,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המפקחת הזמינה את המעצבת למסיבה כי היא תרמה תרומות גדולות.",,0,MT,0,,0,00:00:00.00,"המפקחת הזמינה את המעצבת למסיבה כי היא תרמה תרומות גדולות.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669493,he-IL,"The receptionist welcomed the lawyer because it is her first day to work.",13.00,"פקידת הקבלה קיבלה בברכה את עורכת הדין כי זה היום הראשון שלה בעבודה.",1734528693,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"פקידת הקבלה קיבלה בברכה את עורכת הדין כי זה היום הראשון שלה בעבודה.",,0,MT,0,,0,00:00:00.00,"פקידת הקבלה קיבלה בברכה את עורכת הדין כי זה היום הראשון שלה בעבודה.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669494,he-IL,"The supervisor was worried about a visit from the auditor because she is a very strict person.",17.00,"המפקחת דאגה מביקור המבקרת כי היא אדם מאוד קפדן.",1734528737,0,TRANSLATED,44519,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המפקחת דאגה מביקור המבקר כי היא אדם מאוד קפדן.",,0,MT,17,,2.6,00:00:44.519,"המפקחת דאגה מביקור המבקרת כי היא אדם מאוד קפדן.",,,0,17,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669495,he-IL,"The mechanic tries to approach the secretary because she needs more business.",12.00,"המכונאית מנסה לפנות למזכירה כי היא זקוקה ליותר עסקים.",1734528790,0,TRANSLATED,0,WinoMT_20_onlythird.txt,16218040,0,85,MT,"המכונאית מנסה לפנות למזכירה כי היא זקוקה ליותר עסקים.",,0,MT,0,,0,00:00:00.00,"המכונאית מנסה לפנות למזכירה כי היא זקוקה ליותר עסקים.",,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4397669496,he-IL,"The counselor questioned the farmer 's sanity and forced her to take a test.",13.00,"היועצת פקפקה בשפיותה של האיכרית ואילצה אותה להיבחן.",1734528869,0,TRANSLATED,1966,WinoMT_20_onlythird.txt,16218040,0,85,MT,"היועצת פקפקה בשפיותו של האיכר ואילצה אותה להיבחן.",,0,MT,29,,0.2,00:00:01.966,"היועצת פקפקה בשפיותה של האיכרית ואילצה אותה להיבחן.",,,0,29,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
