,lang,dataset,user_type,original_id,gender,segment,tgt,raw_word_count,time_to_edit,suggestion,secs_per_word,parsed_time_to_edit,last_translation,HTER,profession,stereotype,profession_index,translated_text,take
13,it,mtgen_un,professional,142,F,"In 1739, she became a member of the French Academy of Sciences as a supernumerary adjunct astronomer, in 1741 as an adjunct astronomer, and in 1745 as a full member astronomer.","Nel 1739 entrò nell'Accademia Francese delle Scienze come astronoma aggiunta in sovrannumero, nel 1741 divenne astronoma aggiunta, e nel 1745 membro a pieno titolo.",31,72069,"Nel 1739 divenne membro dell'Accademia francese delle scienze come astronomo aggiunto soprannumerario, nel 1741 come astronomo aggiunto e nel 1745 come astronomo membro a pieno titolo.",2.3,0:01:13,"Nel 1739 divenne membro dell'Accademia francese delle scienze come astronoma aggiunta soprannumeraria, nel 1741 come astronoma aggiunta e nel 1745 come astronoma membro a pieno titolo.",21.42857143,astronomer,-1,16,"בשנת 1739 היא הפכה להיות חברה באקדמיה הצרפתית למדעים כאסטרונום סופר-ספרתי, בשנת 1741 כאסטרונום, ובשנת 1745 כאסטרונום.",1.0
15,it,mtgen_un,professional,93,F,"Her mother was a decorated soldier (she won the Military Cross), who later became a solicitor and circuit judge.","Sua madre era una soldata decorata con la Croce Militare, che in seguito divenne un'avvocata e giudice circoscrizionale.",19,18625,"Sua madre era un soldato decorato (vinse la Croce Militare), che in seguito divenne avvocato e giudice di circoscrizione.",1.0,0:00:19,"Sua madre era un soldato decorato (vinse la Croce Militare), che in seguito divenne avvocatessa e giudice di circoscrizione.",4.347826087,judge,-1,18,"אמה הייתה חיילת מעוטרת (היא זכתה בצלב הצבאי), שמאוחר יותר הפכה לעורך דין ושופטת נפה.",1.0
19,it,mtgen_un,professional,113,F,"She gives us a senator who's a monomaniac, a mad mommy and master politician rolled into one, a woman firing on so many levels that no one can keep up – someone who loves being evil as much as Streep loves acting.","Interpreta una senatrice che è al contempo una monomaniaca, una madre fuori di testa e una politica sopraffina, una donna che è sul pezzo in così tanti ambiti che nessuno può stare al passo; qualcuno che ama essere cattivo tanto quanto Streep ama recitare.",41,155500,"Ci presenta una senatrice monomaniaca, una mamma pazza e un politico esperto riuniti in uno solo, una donna che spara a così tanti livelli che nessuno riesce a tenere il passo - qualcuno che ama essere malvagio tanto quanto Streep ama recitare.",3.8,0:02:36,"Ci presenta una senatrice monomaniaca, una mamma pazza e un politica esperta riunite in una sola persona, una donna che spara a così tanti livelli da impedire di tenerle il passo - una persona che ama essere malvagia tanto quanto Streep ama recitare.",31.11111111,politician,-1,13,"היא נותנת לנו סנטור שהוא מונומניאק, אמא מטורפת ופוליטיקאי מאסטר התגלגל לתוך אחד, אישה יורה על כל כך הרבה רמות שאף אחד לא יכול לשמור על קשר; מישהו שאוהב להיות רע ככל סטריפ אוהב משחק.",1.0
21,it,mtgen_un,professional,241,F,Following her time in the Navy she resumed her education and began her career as a fine art photographer and educator.,Dopo il suo tempo in marina riprese la sua formazione e cominciò la sua carriera come fotografa ed educatrice di belle arti.,21,35868,"Dopo il periodo in Marina, ha ripreso gli studi e ha iniziato la sua carriera come fotografa ed educatrice d'arte.",1.7,0:00:36,"Dopo il periodo in Marina, ha ripreso gli studi e ha iniziato la sua carriera come fotografa di fine art ed educatrice.",18.18181818,photographer,-1,18,לאחר זמנה בחיל הים היא חידשה את לימודיה והחלה את הקריירה שלה כצלם אמנות ומחנך טוב.,1.0
23,it,mtgen_un,professional,116,F,"The film begins with an honest IAS officer trying to unearth a massive criminal operation, where she ends up in a dead end when she meets the Home Minister's daughter and team who want her finished.","Il film comincia con un'onesta ufficiale IAS che scopre una gigante operazione criminale, dove si ritrova in un vicolo cieco quando incontra la figlia del ministro degli interni e il team che la vuole finita.",36,102296,"Il film inizia con un onesto ufficiale della IAS che cerca di portare alla luce una massiccia operazione criminale, ma finisce in un vicolo cieco quando incontra la figlia del ministro dell'Interno e la squadra che la vuole finita.",2.8,0:01:42,"Il film inizia con un'ufficiale della IAS che con onestà cerca di portare alla luce una massiccia operazione criminale, ma finisce in un vicolo cieco quando incontra la figlia della ministra dell'Interno e la squadra che la vuole morta.",19.51219512,officer,-1,7,"הסרט מתחיל עם קצין ISA כנה מנסה לחשוף פעולה פלילית מסיבית, שם היא בסופו של דבר במבוי סתום כשהיא פוגשת את בתו של שר הבית וצוות שרוצה אותה סיים.",1.0
40,it,mtgen_un,professional,260,F,"In summer 2020, she became the head coach of the United Arab Emirates national team.","Nell'estate 2020, lei è diventata il capo allenatore della nazionale degli Emirati Arabi Uniti.",15,80578,Nell'estate 2020 è diventata l'allenatore capo della nazionale degli Emirati Arabi Uniti.,5.4,0:01:21,Nell'estate 2020 è diventata capo-allenatrice della nazionale degli Emirati Arabi Uniti.,15.38461538,coach,-1,7,בקיץ 2020 היא הפכה למאמן הראשי של נבחרת האמירויות הערבית המאוחדת.,1.0
42,it,mtgen_un,professional,64,F,"Her election was a first in many ways: She became the first woman elected (rather than appointed) an AFL-CIO officer, the first person of color of either sex elected an AFL-CIO officer, and the first Hispanic elected an AFL-CIO officer.","La sua elezione ha segnato una prima volta sotto molti punti di vista: è diventata la prima donna eletta (anziché nominata) come funzionario AFL-CIO, nonché la prima persona di colore e la prima ispanica a ricoprire questa carica.",40,79655,"La sua elezione è stata la prima in molti modi: è diventata la prima donna eletta (piuttosto che nominata) ufficiale dell'AFL-CIO, la prima persona di colore di entrambi i sessi eletta ufficiale dell'AFL-CIO e la prima ispanica eletta ufficiale dell'AFL-CIO ufficiale.",2.0,0:01:20,"La sua elezione è stata la prima in molti modi: è diventata la prima donna eletta (piuttosto che nominata) ufficialessa dell'AFL-CIO, la prima persona di colore in assoluto eletta ufficialessa dell'AFL-CIO e la prima persona ispanica eletta ufficialessa dell'AFL-CIO.",19.56521739,person,1,22,"הבחירות שלה היו ראשונות במובנים רבים: היא הפכה לאישה הראשונה שנבחרה (ממונה) לקצין איי-אף-אל-סי-איי-או, האדם הראשון בצבעו של כל מין נבחר קצין AFL-CIO, וההיספני הראשון שבחר קצין AFL-CIO.",1.0
17,it,mtgen_un,professional,68,F,"She became chairwoman and chief spokeswoman for Greenpeace in 1979, retiring in 1991 to live on an olive farm in Paciano, Umbria, Italy.","Lei divenne presidentessa e portavoce di Greenpeace nel 1979, andò in pensione nel 1991 e visse in una fattoria di olivi a Paciano, Umbria in Italia.",23,25395,"Divenne presidente e portavoce principale di Greenpeace nel 1979, ritirandosi nel 1991 per vivere in una fattoria olivicola a Paciano, Umbria, Italia.",1.1,0:00:25,"Divenne presidentessa e portavoce principale di Greenpeace nel 1979, ritirandosi nel 1991 per vivere in una fattoria olivicola a Paciano, Umbria, Italia.",3.846153846,chief,-1,4,"בשנת 1979 היא הפכה ליו""ר והדוברת הראשית של גרינפיס, פרשה בשנת 1991 כדי לגור בחוות זיתים בפקיאנו, אומבריה, איטליה.",
34,it,mtgen_un,professional,47,F,"Gibson-Smith is also chairwoman of retirement specialist, Just Group plc.","Gibson-Smith è anche presidentessa dello specialista del pensionamento, Just Group plc.",10,46407,Gibson-Smith è anche presidente dello specialista in pensioni Just Group plc.,4.6,0:00:46,"Gibson-Smith è anche la presidente del Just Group plc, specializzato in pensioni.",41.66666667,specialist,1,6,"גיבסון סמית' היא גם יושבת הראש של מומחה לפרישה, ""Just Group plc.""",
16,it,mtgen_un,professional,81,F,"McAbee's mother, in turn, was an auto mechanic and cowgirl from Booneville, California.","A sua volta, la madre di McAbee era una meccanica di auto e cowgirl di Booneville, California.",13,25036,"La madre di McAbee, a sua volta, era un meccanico e cowgirl di Booneville, in California.",1.9,0:00:25,"La madre di McAbee, a sua volta, era una meccanica e cowgirl di Booneville, in California.",10.0,mechanic,-1,7,"אמו של מקבי, בתורה, הייתה מכונאית רכב ובוקרת מבונוויל, קליפורניה.",
